GEODOMI LABEL,GEODOMI,GEODOMI CAT,OLD LOCDOMI,OLD LOCDOMI LABEL,MSA/CMSA/NECMA
AFGHANISTAN,00004,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
ALBANIA,00008,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
ANTARCTICA,00010,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
ALGERIA,00012,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
ANDORRA,00020,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
ANGOLA,00024,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
ANTIGUA AND BARBUDA,00028,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
AZERBAIJAN,00031,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
ARGENTINA,00032,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
AUSTRALIA,00036,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
AUSTRIA,00040,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
BAHAMAS,00044,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
BAHRAIN,00048,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
BANGLADESH,00050,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
ARMENIA,00051,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
BARBADOS,00052,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
BELGIUM,00056,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
BERMUDA,00060,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
BHUTAN,00064,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
"BOLIVIA, PLURINATIONAL STATE OF",00068,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
BOSNIA AND HERZEGOVINA,00070,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
BOTSWANA,00072,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
BOUVET ISLAND,00074,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
BRAZIL,00076,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
BELIZE,00084,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
BRITISH INDIAN OCEAN TERRITORY,00086,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
SOLOMON ISLANDS,00090,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
"VIRGIN ISLANDS, BRITISH",00092,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
BRUNEI DARUSSALAM,00096,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
BULGARIA,00100,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
MYANMAR,00104,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
BURUNDI,00108,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
BELARUS,00112,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
CAMBODIA,00116,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
CAMEROON,00120,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
CANADA,00124,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
CAPE VERDE,00132,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
CAYMAN ISLANDS,00136,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
CENTRAL AFRICAN REPUBLIC,00140,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
SRI LANKA,00144,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
CHAD,00148,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
CHILE,00152,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
CHINA,00156,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
"TAIWAN, PROVINCE OF CHINA",00158,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
CHRISTMAS ISLAND,00162,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
COCOS (KEELING) ISLANDS,00166,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
COLOMBIA,00170,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
COMOROS,00174,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
MAYOTTE,00175,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
CONGO,00178,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
"CONGO, THE DEMOCRATIC REPUBLIC OF THE",00180,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
COOK ISLANDS,00184,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
COSTA RICA,00188,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
CROATIA,00191,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
CUBA,00192,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
CYPRUS,00196,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
CZECH REPUBLIC,00203,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
BENIN,00204,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
DENMARK,00208,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
DOMINICA,00212,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
DOMINICAN REPUBLIC,00214,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
ECUADOR,00218,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
EL SALVADOR,00222,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
EQUATORIAL GUINEA,00226,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
ETHIOPIA,00231,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
ERITREA,00232,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
ESTONIA,00233,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
FAROE ISLANDS,00234,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
FALKLAND ISLANDS (MALVINAS),00238,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
SOUTH GEORGIA AND THE SOUTH SANDWICH ISLANDS,00239,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
FIJI,00242,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
FINLAND,00246,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
ÅLAND ISLANDS,00248,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
FRANCE,00250,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
FRENCH GUIANA,00254,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
FRENCH POLYNESIA,00258,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
